Aggregation Type,Description,Dimensions,Metric,Metric Display Name,Unit,resource
Average,QPU. Range 0-100 for S1, 0-200 for S2 and 0-400 for S4,qpu_metric,QPU,Count,Microsoft.AnalysisServices/servers
Average,Memory. Range 0-25 GB for S1, 0-50 GB for S2 and 0-100 GB for S4,memory_metric,Memory,Bytes,Microsoft.AnalysisServices/servers
Average,Total connection requests. These are arrivals.,ServerResourceType,TotalConnectionRequests,Total Connection Requests,Count,Microsoft.AnalysisServices/servers
Average,Rate of successful connection completions.,ServerResourceType,SuccessfullConnectionsPerSec,Successful Connections Per Sec,CountPerSecond,Microsoft.AnalysisServices/servers
Average,Total failed connection attempts.,ServerResourceType,TotalConnectionFailures,Total Connection Failures,Count,Microsoft.AnalysisServices/servers
Average,Current number of user sessions established.,ServerResourceType,CurrentUserSessions,Current User Sessions,Count,Microsoft.AnalysisServices/servers
Average,Number of busy threads in the query thread pool.,ServerResourceType,QueryPoolBusyThreads,Query Pool Busy Threads,Count,Microsoft.AnalysisServices/servers
Average,Number of jobs in the queue of the command thread pool.,ServerResourceType,CommandPoolJobQueueLength,Command Pool Job Queue Length,Count,Microsoft.AnalysisServices/servers
Average,Number of non-I/O jobs in the queue of the processing thread pool.,ServerResourceType,ProcessingPoolJobQueueLength,Processing Pool Job Queue Length,Count,Microsoft.AnalysisServices/servers
Average,Current number of client connections established.,ServerResourceType,CurrentConnections,Connection: Current connections,Count,Microsoft.AnalysisServices/servers
Average,Current price of memory, $/byte/time,CleanerCurrentPrice,Memory: Cleaner Current Price,Count,Microsoft.AnalysisServices/servers
Average,Amount of memory, in bytes,CleanerMemoryShrinkable,Memory: Cleaner Memory shrinkable,Bytes,Microsoft.AnalysisServices/servers
Average,Amount of memory, in bytes,CleanerMemoryNonshrinkable,Memory: Cleaner Memory nonshrinkable,Bytes,Microsoft.AnalysisServices/servers
Average,Memory usage of the server process as used in calculating cleaner memory price. Equal to counter Process\PrivateBytes plus the size of memory-mapped data, ignoring any memory which was mapped or allocated by the xVelocity in-memory analytics engine (VertiPaq) in excess of the xVelocity engine Memory Limit.,MemoryUsage,Memory: Memory Usage,Bytes,Microsoft.AnalysisServices/servers
Average,Hard memory limit, from configuration file.,MemoryLimitHard,Memory: Memory Limit Hard,Bytes,Microsoft.AnalysisServices/servers
Average,High memory limit, from configuration file.,MemoryLimitHigh,Memory: Memory Limit High,Bytes,Microsoft.AnalysisServices/servers
Average,Low memory limit, from configuration file.,MemoryLimitLow,Memory: Memory Limit Low,Bytes,Microsoft.AnalysisServices/servers
Average,In-memory limit, from configuration file.,MemoryLimitVertiPaq,Memory: Memory Limit VertiPaq,Bytes,Microsoft.AnalysisServices/servers
Average,Current memory quota, in bytes. Memory quota is also known as a memory grant or memory reservation.,Quota,Memory: Quota,Bytes,Microsoft.AnalysisServices/servers
Average,Current number of quota requests that are blocked until other memory quotas are freed.,ServerResourceType,QuotaBlocked,Memory: Quota Blocked,Count,Microsoft.AnalysisServices/servers
Average,Bytes of memory locked in the working set for use by the in-memory engine.,ServerResourceType,VertiPaqNonpaged,Memory: VertiPaq Nonpaged,Bytes,Microsoft.AnalysisServices/servers
Average,Bytes of paged memory in use for in-memory data.,ServerResourceType,VertiPaqPaged,Memory: VertiPaq Paged,Bytes,Microsoft.AnalysisServices/servers
Average,Rate of rows read from all relational databases.,ServerResourceType,RowsReadPerSec,Processing: Rows read per sec,CountPerSecond,Microsoft.AnalysisServices/servers
Average,Rate of rows converted during processing.,ServerResourceType,RowsConvertedPerSec,Processing: Rows converted per sec,CountPerSecond,Microsoft.AnalysisServices/servers
Average,Rate of rows written during processing.,ServerResourceType,RowsWrittenPerSec,Processing: Rows written per sec,CountPerSecond,Microsoft.AnalysisServices/servers
Average,Number of busy threads in the command thread pool.,ServerResourceType,CommandPoolBusyThreads,Threads: Command pool busy threads,Count,Microsoft.AnalysisServices/servers
Average,Number of idle threads in the command thread pool.,ServerResourceType,CommandPoolIdleThreads,Threads: Command pool idle threads,Count,Microsoft.AnalysisServices/servers
Average,Number of busy threads in the long parsing thread pool.,ServerResourceType,LongParsingBusyThreads,Threads: Long parsing busy threads,Count,Microsoft.AnalysisServices/servers
Average,Number of idle threads in the long parsing thread pool.,ServerResourceType,LongParsingIdleThreads,Threads: Long parsing idle threads,Count,Microsoft.AnalysisServices/servers
Average,Number of jobs in the queue of the long parsing thread pool.,ServerResourceType,LongParsingJobQueueLength,Threads: Long parsing job queue length,Count,Microsoft.AnalysisServices/servers
Average,Number of threads running I/O jobs in the processing thread pool.,ServerResourceType,ProcessingPoolBusyIOJobThreads,Threads: Processing pool busy I/O job threads,Count,Microsoft.AnalysisServices/servers
Average,Number of threads running non-I/O jobs in the processing thread pool.,ServerResourceType,ProcessingPoolBusyNonIOThreads,Threads: Processing pool busy non-I/O threads,Count,Microsoft.AnalysisServices/servers
Average,Number of I/O jobs in the queue of the processing thread pool.,ServerResourceType,ProcessingPoolIOJobQueueLength,Threads: Processing pool I/O job queue length,Count,Microsoft.AnalysisServices/servers
Average,Number of idle threads for I/O jobs in the processing thread pool.,ServerResourceType,ProcessingPoolIdleIOJobThreads,Threads: Processing pool idle I/O job threads,Count,Microsoft.AnalysisServices/servers
Average,Number of idle threads in the processing thread pool dedicated to non-I/O jobs.,ServerResourceType,ProcessingPoolIdleNonIOThreads,Threads: Processing pool idle non-I/O threads,Count,Microsoft.AnalysisServices/servers
Average,Number of idle threads for I/O jobs in the processing thread pool.,ServerResourceType,QueryPoolIdleThreads,Threads: Query pool idle threads,Count,Microsoft.AnalysisServices/servers
Average,Number of jobs in the queue of the query thread pool.,ServerResourceType,QueryPoolJobQueueLength,Threads: Query pool job queue lengt,Count,Microsoft.AnalysisServices/servers
Average,Number of busy threads in the short parsing thread pool.,ServerResourceType,ShortParsingBusyThreads,Threads: Short parsing busy threads,Count,Microsoft.AnalysisServices/servers
Average,Number of idle threads in the short parsing thread pool.,ServerResourceType,ShortParsingIdleThreads,Threads: Short parsing idle threads,Count,Microsoft.AnalysisServices/servers
Average,Number of jobs in the queue of the short parsing thread pool.,ServerResourceType,ShortParsingJobQueueLength,Threads: Short parsing job queue length,Count,Microsoft.AnalysisServices/servers
Average,Average memory thrashing.,ServerResourceType,memory_thrashing_metric,Memory Thrashing,Percent,Microsoft.AnalysisServices/servers
Average,QPU usage by mashup engine processes,ServerResourceType,mashup_engine_qpu_metric,M Engine QPU,Count,Microsoft.AnalysisServices/servers
Average,Memory usage by mashup engine processes,ServerResourceType,mashup_engine_memory_metric,M Engine Memory,Bytes,Microsoft.AnalysisServices/servers
Total,Number of gateway requests,Location,TotalRequests,Total Gateway Requests,Count,Microsoft.ApiManagement/service
Total,Number of successful gateway requests,Location,SuccessfulRequests,Successful Gateway Requests,Count,Microsoft.ApiManagement/service
Total,Number of unauthorized gateway requests,Location,UnauthorizedRequests,Unauthorized Gateway Requests,Count,Microsoft.ApiManagement/service
Total,Number of failures in gateway requests,Location,FailedRequests,Failed Gateway Requests,Count,Microsoft.ApiManagement/service
Total,Number of other gateway requests,Location,OtherRequests,Other Gateway Requests,Count,Microsoft.ApiManagement/service
Average,Overall Duration of Gateway Requests in milliseconds,Location,Duration,Overall Duration of Gateway Requests,Milliseconds,Microsoft.ApiManagement/service
Maximum,Utilization metric for ApiManagement service,Location,Capacity,Capacity (Preview),Percent,Microsoft.ApiManagement/service
Total,The total number of jobs,RunbookName,TotalJob,Total Jobs,Count,Microsoft.Automation/automationAccounts
Total,Total number of dedicated cores in the batch account,No Dimensions,CoreCount,Dedicated Core Count,Count,Microsoft.Batch/batchAccounts
Total,Total number of dedicated nodes in the batch account,No Dimensions,TotalNodeCount,Dedicated Node Count,Count,Microsoft.Batch/batchAccounts
